youID,title,pub_date,video_description,channel_name,channelID
cNGtgYMeuS4,New Audi A8 2018 review - the most high-tech car ever?,2017-10-06T14:00:50.000Z,This is the all-new Audi A8. The fourth generation of Audi's luxury limousine could be one of the most technologically advanced cars ever produced - so I put its ...,carwow,UCUhFaUpnq31m6TNX2VKVSVA
te6VqldjTT8,Here's Why the Tesla Model 3 Is the Coolest Car of 2017,2017-11-06T16:57:01.000Z,"GO READ MY COLUMN! http://autotradr.co/Oversteer The Tesla Model 3 is the coolest car of 2017. Today, I'm reviewing this Tesla Model 3 and I'm showing you ...",Doug DeMuro,UCsqjHFMB_JYTaEnf_vmTNqg
k_3DRbSx9ds,Hindustan Motors Ambassador Test Drive Review - Auto Portal,2015-08-18T11:56:14.000Z,http://autoportal.com/ The Hindustan Motors Ambassador has been an iconic car ever since it was first launched in India. Not only this was the first car to be ever ...,Autoportal,UCHcRjWV5XOGdYkM7ruvpgxw
78pc7V6ls0c,2018 Jaguar XJ - Review,2017-07-29T15:18:22.000Z,"Jaguar XJ review The Jaguar XJ is a worthy rival to the German luxury car trio of the Mercedes S-Class, BMW 7 Series and Audi A8 thanks to its dramatic styling, ...",AutoShow,UCFfFgeKVVhjXtQSXRj3e-Iw
WnyPtKQKP3Y,Here's Why the Pagani Huayra Is Worth $3 Million,2018-09-19T15:56:08.000Z,"FOLLOW THE PAGANI'S OWNER! http://www.instagram.com/jchwa The Pagani Huayra is one of the most thrilling, exciting cars in the world. Today I'm ...",Doug DeMuro,UCsqjHFMB_JYTaEnf_vmTNqg
XD3dVGCouxU,2019 Toyota Avalon Touring – Not Your Grandpa's Car Anymore,2018-04-23T11:00:03.000Z,Follow us on our social channels here: Instagram: redline_reviews www.facebook.com/2Redline After years of being known as the vehicle of choice for drivers ...,Redline Reviews,UC2MrtVb1dT4FhcbOlW736kA
_fGnm9P3cB0,2019 MERCEDES GLC 63S AMG REVIEW!! THIS WAS ONE INSANE AUTOMOBILE!!,2018-09-19T00:00:05.000Z,"GO SUBSCRIBE TO OUR FAMILY VLOG CHANNEL ASAP!! "" THE BIG LEGENDARY FAMILY "" CLICK THE LINK BELOW!",Tall Guy Car Reviews,UCPOhqbK_PFng6OZ13cnwNSg
azWXR2TdgOk,Automobile Review - with the Game Boy Geek,2013-11-12T14:44:25.000Z,Dan takes a look at this Martin Wallace board game from Mayfair Buy great games at http://www.coolstuffinc.com Find more reviews and videos at ...,The Dice Tower,UCiwBbXQlljGjKtKhcdMliRA
7gYC0w28uxA,Here's Why the Plymouth Prowler Is the Weirdest Car of the 1990s,2017-01-11T16:58:54.000Z,GO READ MY COLUMN HERE! http://autotradr.co/Oversteer THANKS TO RAYCO EUROSPEC: http://www.raycoeuro.com I had a chance to drive a pristine ...,Doug DeMuro,UCsqjHFMB_JYTaEnf_vmTNqg
QN4UhS8cFTk,Here's Why the Yugo Is One of the Worst Cars Ever Made,2016-12-08T16:57:19.000Z,GO READ MY COLUMN HERE! http://autotradr.co/Oversteer The Yugo is often considered one of the worst cars ever made. That's completely true -- and here's ...,Doug DeMuro,UCsqjHFMB_JYTaEnf_vmTNqg
