youID,title,pub_date,video_description,channel_name,channelID
Bwzw7MbFDio,Volkswagen T-Roc (2018) | Perché comprarla... e perché no,2018-02-03T00:00:01.000Z,"Si è fatta attendere, la Volkswagen T-Roc, ma ha tutte le caratteristiche per sbaragliare la più accanita concorrenza. Un modello ben riuscito, che unisce alla ...",Motor1 Italia,UC3u7URxSqN70zuJ5Yb_ryPg
lH7Orr5h-C8,Tutorial Trek Pow OBD II Scanner Diagnostico per Autovetture Recensione,2018-05-31T17:01:27.000Z,"Ciao a tutti ragazzi, oggi vi mostro una recensione di un prodotto veramente molto utile per le nostre automobili. Si tratta di un Car Diagnostic scanner Cioè un ...",Piero Gentili,UCP1U2k1L02JnnXSJoMqdWVg
aw53Dc2TsE4,Dr3 Presentata da Grandolfo Auto S.r.l,2018-05-23T16:23:34.000Z,Segmento strategico è certamente quello della Dr 3! Ve la presenteremo in tutti i suoi dettagli ed vi invitiamo a provarla! Grandolfo Auto S.r.l Concessionaria Dr ...,Grandolfo Auto S.r.l,UCqKcOaHPtt3Y2Ni1pBgTNog
Il_SXALBYTk,9.900 euro sportiva? È possibile. Ecco la MPM Motors PS160,2018-05-30T12:14:36.000Z,"Abbiamo toccato con mano, per la prima volta in Italia, la nuova coupé quattro porte francese low-cost, molto low. Ma con 9.900 euro, cosa ci si porta a casa?",Automoto.it,UCRDjY_6yCZ8lH899DPTsE9A
ZWzPYMquBww,"Neopatentati, ecco le auto (nuove) per voi! Le Dritte di Andrea",2018-09-02T11:00:05.000Z,"Chi non ricorda quel fatidico giorno in cui ha preso la patente? Un passaggio epocale, importante nella vita di ognuno di noi. Ma se un tempo si guidava la ...",Motor1 Italia,UC3u7URxSqN70zuJ5Yb_ryPg
_qzXUHlBQmU,"6 mesi di GOLF ELETTRICA. AUTONOMIA, COSTI, Esperienza, RISPOSTE alle VOSTRE DOMANDE",2018-07-10T11:00:01.000Z,Ed eccoci. Chi mi segue anche sui social sa che qualche giorno fa ho dovuto restituire quella E-Golf che Volkswagen mi diede l'inverno scorso per un test drive ...,andreagaleazzi.com,UC5yXB_ThsufRJYMRlzIGoeQ
UeLQ8UXPIAg,Perché alcune auto sono premium e altre no!?,2019-01-05T08:00:02.000Z,"Quando si parla di alcuni marchi ci si riferisce a loro come ""premium"", ma cosa significa esattamente? In altre parole perché alcuni marchi sono premium ed altri ...",DriveK,UC8OSnuUszO3azYnEwrajPDw
C97OcJ6FYsk,"Mazda 2: piccola, ma c'è dentro di tutto!",2018-08-29T16:00:00.000Z,Raramente abbiamo trovato così tanto dentro una vettura del segmento B. E invece Mazda2 ha tutto. Venite a scoprirla insieme a noi... AUTO: Iscriviti per vedere ...,Automoto.it,UCRDjY_6yCZ8lH899DPTsE9A
V_U99AvJBpg,Pioneer DEH-1500UB Recensione @MyAudioStore VideoReview ITA,2013-01-03T10:36:47.000Z,"Recensione piuttosto approfondita del nuovo Pioneer DEH-1500UB, autoradio entry level ma che offre molte funzionalità nuove. Scopritele nel video. Prodotto ...",MyAudioTv,UCB2uCrGGhdbz2HGrVSXXdSw
RSVZ7DYTHeM,"Nuova Ford Focus, come va il 1.0 turbo benzina?",2018-07-07T09:30:02.000Z,"Sono passati 20 anni, non sembra vero? E allora guardate la prova della nuova Ford Focus, quella di quarta generazione. Per saperne di più: ...",Motor1 Italia,UC3u7URxSqN70zuJ5Yb_ryPg
