youID,title,pub_date,video_description,channel_name,channelID
WIE8trRrhEg,Creating Professional Art with a Low-Cost Tablet ( Picasso Tab Review ),2018-12-24T04:37:39.000Z,Check out the PicassoTab! : https://www.simbans.com/picasso.html (also iknowinknowiknow I used medibang instead of ibis x paint ...,MintChocChips,UC9p7VHtwM7rwpOzpdBRDjcA
W2IdRs0c14A,TOP 5: Best Tablet 2018,2018-02-17T00:38:32.000Z,TOP 5: Best Tablet 2018 ▻Samsung Galaxy Tab S3 ✓US Prices - http://amzn.to/2sEmnCC ✓UK Prices - http://amzn.to/2EOTxEF ✓CA Prices ...,The Product Lab,UCSc9R_Wo-pS2JZXk7Oppliw
OeDBbw0cVIE,The Best Android Tablet Left - A Review,2018-09-20T05:55:24.000Z,"This is the Samsung Galaxy Tab S4. Samsung's latest and greates tablet offering, and also probably one of the last Android tablets worthy of a conversation in ...",Pocketnow,UCO_vmeInQm5Z6dEZ6R5Kk0A
BIlWDdEFHMc,$80 Tablet vs $800 Tablet Review (Amazon Fire Tablet VS iPad Pro),2017-08-13T18:00:05.000Z,This Amazon tablet vs iPad video will actually surprise you! Watch and see which performed better in our tests JOIN MY INSIDER DEAL FACEBOOK GROUP: ...,The Deal Guy,UC5Qbo0AR3CwpmEq751BIy0g
vXG7tOxkFvE,EXPENSIVE VS CHEAP DRAWING TABLETS,2018-11-16T18:20:46.000Z,"7 tablets enter, only one will earn the crown! I'm comparing the oldest, crustiest tablets, unboxing brand new fancy ones, and everything in between! Wacom v.s. ...",LavenderTowne,UCD4XIm3ZFhT72WjqhIXMN9w
C9IKIGCNcSM,MY #1 BUDGET DIGITAL TABLET!  - Huion Inspiroy H950P Review,2018-07-18T09:41:34.000Z,"Get a Further 10% OFF of the H950P using the code: H950P010 (#Sponsored, Offer ends 31 October 2018) Official online shop: http://bit.ly/2ysc07S AMAZON ...",Draw with Jazza,UCHu2KNu6TtJ0p4hpSW7Yv7Q
YEr5THEf0gQ,Tablet Review! (Huion Kamvas GT-221),2018-09-22T22:30:56.000Z,This tablet Is my baby and I love It. Social Media: Twitter- https://twitter.com/Haminations?lang=en Instagram- https://www.instagram.com/haminations_official/ ...,Haminations,UC2hm5rD_IrfYRMfq5YQudgA
aASITqw8zkQ,Samsung Galaxy Tab A 10.5 Review - Best Mid-range Tablet of 2018 - YouTube Tech Guy,2018-12-29T00:00:00.000Z,Our review of the Samsung Galaxy Tab A 10.5 which is the best Midrange Tablet of 2018 Under $350 or Under $300 when on sale Our Amazon Affiliate Link for ...,The YouTube Tech Guy,UCzLaQ6eeTVuAltzTrN7fzyg
-2Vh-uI1arQ,HUION  Wireless DRAWING TABLET (13.8″-by-8.6″)  WH1409 REVIEW,2017-05-26T15:30:01.000Z,"Good Gracious! the aperture is all over the place in this video. I'll do better next time!!!! FYI, I was sent this product for free to try out. But I was not paid to make ...",DrawingWiffWaffles,UCBARESDB1dvUXUHZwIVHUdw
U284zTK4Ybk,Mi Pad Android Tablet Review in 4K with Pros & Cons,2015-04-03T12:05:25.000Z,"Xiaomi Mi Pad Review, Mi Pad is a powerful budget tablet sporting some impressive specs it has a 7.9"" high resolution IPS screen with gorilla glass 3, it is ...",Geekyranjit,UCO2WJZKQoDW4Te6NHx4KfTg
x-t25oLOZxk,Huawei Mediapad M5 Review - The best Tablet 2018!,2018-06-10T16:32:02.000Z,Huawei has released their new premium Mediapad M5 and M5 Pro ! With these devices they are challenging the new iPad 2018! *** Sponsored by Huawei ...,TechMagnet,UCtT2VnurQKOAA0I1EKKHSPA
bwF-fzB47ho,A CHEAP ANDROID TABLET WITH A PEN? Simbans Picassotab Unboxing Review,2018-05-09T20:33:41.000Z,Available Here! US https://www.amazon.com/dp/B071GY6994 UK https://www.amazon.co.uk/dp/B071GY6994 https://www.simbans.com/picasso.html A Simbans ...,mikeymegamega,UCOvvFK_EhrX9exQ-jkLPg8w
y2K7NCbni20,GAOMON PD1560 PEN DISPLAY TABLET REVIEW,2018-01-20T20:22:17.000Z,"subscr i b e this video is long overdue and so is my next one, thank you for being patient with me yall ily have a good year You can find me active here - insta- ...",Kelsey Animated,UCxEloHlVRJxlmU9TMQ8v11Q
Bo56aKY9i3U,Acer Iconia One 10 Tablet Review,2016-04-24T21:56:07.000Z,This is my review of the Acer Iconia One 10 Model B3-A20 Community Page https://www.facebook.com/YouTubeFrugalTech Social Twitter ...,FrugalTech,UCjPpkpNsXVMylBOSeUxasfA
PSsHcQkHXsg,Probably the BEST Kamvas GT-221 Pro Tablet Review,2018-03-21T19:51:15.000Z,Pro Reviews with GingerPale Amazon this good boy: Canada: https://www.amazon.ca/dp/B0721Q6PM8 US: https://www.amazon.com/dp/B072KGHD41 ...,GingerPale,UCGGTAB19HlHEWPwwmxHsEKA
LR_poNULvG4,Xiaomi Mi Pad 4 | The Best Budget Android Tablet! | Initial Review,2018-11-12T12:06:46.000Z,"Pretty Much The Best Budget Android Tablet of 2018 Mi Pad 4: 8"" | 32GB/3GB | http://bit.ly/2Thwgzl | $159.99 | Coupon: KOM121204 Mi Pad 4: 8"" | 64GB/4GB ...",Life Kommando,UC_22kU1PdQ-7bwgZetFbYOg
Dvzle0olkj0,Huawei Matebook Review - The Best Windows Tablet?,2016-06-30T00:38:56.000Z,"Dave2D review of the Huawei Matebook Windows Tablet 2 in 1 covering an unboxing, build quality, internal hardware, gaming and video editing performance.",Dave Lee,UCVYamHliCI9rw1tHR1xbkfw
U7d6TbQGgRE,Sony Digital Paper tablet Review,2018-07-19T07:38:52.000Z,"Sony's Digital Paper tablets, the 13.3-inch DPT-RP1 and 10.3-inch DPT-CP1, aim to do one thing and do it very well: be paper. More specifically, these tablets ...",PhoneArena,UCwPRdjbrlqTjWOl7ig9JLHg
