youID,title,pub_date,video_description,channel_name,channelID
7JcFLD3uByU,RECENSIONE SAMSUNG GALAXY TAB S4: è un tablet e un PC,2018-09-22T08:07:55.000Z,LEGGI SUL SITO: https://www.androidworld.it/recensioni/samsung-galaxy-tab-s4/ Recensione di Samsung Galaxy Tab S4 con Android One. Abbiamo provato il ...,AndroidWorld.it,UCohqjDGw0sKlUha-eV1J0hQ
GLEqDOJAnCs,Recensione HUAWEI Mediapad M5,2018-04-21T11:00:02.000Z,"Link Amazon https://amzn.to/2qyJFq2 Il tablet MEDIAPAD di Huawei è venduto in tre varianti. Mini da 8,4"", normale da 10,8"" e pro, sempre da 10,8"" ma con 64 ...",andreagaleazzi.com,UC5yXB_ThsufRJYMRlzIGoeQ
6AnBZqYBcus,"Huawei MediaPad T5 10, WIFI - TABLET BEST BUY, recensione by PHONE FIXER ITALIA",2018-11-24T14:30:03.000Z,"Tablet da acquistare sulla fascia dei 200€, bello, veloce e con tanta potenza in questa versione 3 Gb di Ram e 32 Gb di memoria. Un dispositivo che consiglio ...",Phone Fixer Italia,UCAMnihJCvgtHJatLn2PQ2_g
WYqpRQpfad4,RECENSIONE Samsung Galaxy TAB S3,2017-04-04T12:00:03.000Z,"Un ottimo tablet che ha nella penna l'arma vincente. Forse si ispira un po' troppo a iPad Pro 9.7, anche (PURTROPPO) nel prezzo, ma le prestazioni e la duttilità ...",andreagaleazzi.com,UC5yXB_ThsufRJYMRlzIGoeQ
oKaDrxbgBw8,RECENSIONE Huawei MediaPad M3,2017-01-10T14:39:34.000Z,Il tempo dei tablet Android sta tramontando. Ma non sono io a dirlo (lo dicevo in tempi non sospetti) bensì le statistiche di vendita. Vanno solo i prodotti da ...,andreagaleazzi.com,UC5yXB_ThsufRJYMRlzIGoeQ
TbhiNP0l-MU,"Samsung Galaxy Tab A 9.7, recensione in italiano",2015-05-16T07:30:00.000Z,Leggi la recensione sul sito: http://www.androidworld.it/recensioni/samsung-galaxy-tab-a-9-7/ Sito Web: http://www.androidworld.it Vieni a trovarci sui social!,AndroidWorld.it,UCohqjDGw0sKlUha-eV1J0hQ
cxiCqHsNL68,"Una giornata a NEW YORK con Samsung GALAXY BOOK 12"" RECENSIONE",2017-10-31T11:30:00.000Z,Link Amazon http://amzn.to/2iLhuTY Articolo http://andreagaleazzi.com/recensione/recensione-samsung-galaxy-book-12/ Un 2 in 1 che è più tablet rispetto a PC ...,andreagaleazzi.com,UC5yXB_ThsufRJYMRlzIGoeQ
ekNPB8iIM6Y,A COSA SERVE UN TABLET? Recensione Huawei Mediapad M3 Lite ITA | TuttoAndroid,2017-06-01T17:44:06.000Z,"Huawei Mediapad M3 Lite recensione in italiano, da Matteo Virgilio | http://www.TuttoAndroid.net ▷▷ISCRIVITI AL CANALE: http://goo.gl/kcpUr8 ▷LINK ...",TuttoAndroid,UCfzijU5thstIWeAQI4a-jag
DFm3F_ntg24,Questo è il Tablet più POTENTE A BASSO COSTO!,2018-03-31T05:39:49.000Z,Link e Informazioni utili: Il Tablet più POTENTE A BASSO COSTO: https://goo.gl/jQcjAL Purtroppo l'offerta è esaurita il 2 Aprile ma con questo coupon sconto: ...,SINDROME DA SHOPPING,UCjt756Pw2WUatZovW9_qlFA
TC49CLLBFHA,Chuwi Hi9: è davvero un tablet da gaming? | RECENSIONE,2018-02-05T07:49:57.000Z,"Recensione del tablet Chuwi Hi9 con Android Nougat. Si tratta di un tablet economico con velleità da gaming, anche se come vedremo nella recensione ci sono ...",AndroidWorld.it,UCohqjDGw0sKlUha-eV1J0hQ
