youID,title,pub_date,video_description,channel_name,channelID
OcdxW2XF0v8,Get your brain back – reMarkable,2018-11-08T11:55:19.000Z,Learn more at https://remarkable.com/getyourbrainback We live in a time where we are constantly bombarded with information. Distractions from social media ...,reMarkable,UCGZFoXmqMFOf9CJyV3BEBJA
OM1Pt0AXSaI,Samsung Galaxy Tab 10.1 - Official Commercial,2011-06-11T04:15:14.000Z,Permission to use granted by Samsung Germany - Apple enjoyed a monopoly in the tablet market for nearly the first year it was on the market but now that ...,Mobilegeeks.de,UC0GhiZR9zyPorNmoWyPClrQ
YJ5q8Wrkbdw,Introducing the new iPad Pro — Apple,2018-10-30T15:12:16.000Z,"iPad Pro is all new, all screen, and all powerful. Now with an edge-to-edge Liquid Retina display, Face ID, and an A12X Bionic chip, and introducing the new ...",Apple,UCE_M8A5yxnLfW0KghEeajjw
Lmf0F7JxxXE,New Nexus 7 Unveiled -- Official New Nexus  7 Commercial / Ad,2013-07-24T17:52:34.000Z,SPECS: Qualcomm Snapdragon S4 Pro 1.5GHz Processor A 1920 x 1200 screen with 323ppi pixel density 802.11a/b/g/n Wi-Fi 2GB RAM 16GB or 32GB ...,dutalfa007,UCyGU5j3QNJlDxVbjImzvkeA
ufAuTtB5mV4,Galaxy Tab S4: Official Introduction,2018-08-01T15:00:08.000Z,"Versatility, productivity and intuitiveness in one ultimate multitasking machine. Introducing the new Samsung #GalaxyTabS4. Get more done, wherever you are.",Samsung,UCWwgaK7x0_FR1goeSRazfsQ
_t2ouvLZqiM,"Lenovo Yoga Tablet  - ""18 Hours"" commercial with Ashton Kutcher",2013-10-30T05:00:49.000Z,"Lenovo's newest ""Product Engineer' Ashton Kutcher tries to prove that the firm's new Yoga Tablet can last 18 hours and his busy schedule.",NitroWare,UCyIGk1Mb0jIc0D3fSstEFPg
vdAfeWt10Gs,Kindle Bedtime: Glow in the Dark - Nabi Tablet TV Commercial,2013-10-25T18:05:21.000Z,The Nabi Tablet show the Kindle how it can glow in the dark. Too bad Kindle is scared of the dark. Featured Product - Nabi Nabi 2 Life & Entertainment / Toys ...,Every TV Commercials,UCSK1yYId5HWPcxv8MlWnuUQ
3lMFZa0e33c,Samsung Galaxy Tab A Commercial (Fr) [HD],2015-05-07T12:12:21.000Z,Samsung Galaxy Tab A Commercial (Fr) [HD] My Facebook Page: https://www.facebook.com/Pcg4m3rpro ...,Easy2plaYFullHD,UCIOEqD-XZ9yOg3PCrQ3VVBw
13GTbEW0bco,French Toilet Paper Commercial With Tablet & Emma HD,2015-01-20T05:06:44.000Z,"how people tends to left books and paper, but forget the essence of them.",Muhammad Basit,UCsOv7Q1zeYyyOmq6YeRLmHg
dwAuTbx3xKE,Paper vs Ipad or tablet .Funny commercial. Emma.,2013-03-17T14:47:16.000Z,Trolled.....Paper vs Ipad or tablet .Funny commercial. Emma.,Prathik Bagrodia,UCPn0HS1uOHECYeS7usZDK8w
tBQAPQG5h4s,Samsung Mocks Apple with Galaxy Tab Pro 10.1 Commercial !,2014-02-19T16:33:55.000Z,"After some innovative advertising campaigns, Samsung's latest commercial once again finds the company setting its sights on Apple. A Galaxy Tab Pro 10.1 ad ...",OfficialPhoneReviews,UCj6XLHK8l3bH4KAvhS4MMwQ
RNKaTq4LMfo,Sony Xperia Z4 Tablet Commercial,2015-03-06T15:58:05.000Z,Experience stunning detail with a 2K display: http://youtu.be/kNuwvlhrZc0 Discover Xperia Z4 Tablet and make it yours: ...,The Tablet Commercials HD,UC3Gou5QSiWqDnuOk4BWTQnA
Ok0Q1glD3tQ,smartAds Tablet - Commercial Template,2016-11-14T12:30:58.000Z,Commercial Template for After Effects. Created in Element 3D and available in 20 seconds version. See More: http://www.animland.co.uk/smartads_tablet.html ...,Animland,UC-kZQMiob4XUr-pr_k4gBYw
vS_tHDr0Z4Y,New Microsoft Surface Pro Commercial,2013-02-11T06:13:14.000Z,The Microsoft Surface Pro launched on Saturday and the 128GB model quickly sold out at the Microsoft online store. This version of the Microsoft Surface tablet ...,waz7r,UCs0HFYmiIJvXPZkRjBOKPHw
A7CnkvYIi78,Lenovo Yoga Tablet Commercial,2013-10-31T00:14:20.000Z,"The new Lenovo Yoga Tablet, 18 hours of battery and more. With exquisite design.",The Phone Commercials HD,UCdE9Q5PAAzN331hpOtmqkWA
FisnnOBXFuk,Paper vs ipad or tablet-funny commercial,2013-04-22T12:38:15.000Z,Would you be as flexible if this happened to you ? Do you Know someone that wants to lose weight? CHECK THIS OUT http://tinyurl.com/c46jvw7.,SuperFunnyAmazing,UCVTEmv49kMualF_w6GniaTw
VC19s3BWEgY,Lenovo A10 : Latest Yoga Tablet Commercial Video.,2017-04-21T01:49:03.000Z,"Watch , enjoy and Subscribe for more. I do not own the video. The credits go to the rightful owners of the lenovo tablets. No infringement is associated.",Natsu Dragneel,UCvWCJeRKC11_ZYrqqNT5jeA
